,CADENA,ESTADO,SITUACION
0,1.10.185.133:58552,NO USO,NUEVO
1,1.10.187.245:45370,NO USO,NUEVO
2,1.10.187.43:8080,NO USO,NUEVO
3,1.10.187.89:41436,NO USO,NUEVO
4,1.10.188.202:8080,NO USO,NUEVO
5,1.179.148.9:60520,NO USO,NUEVO
6,1.179.164.233:58387,NO USO,NUEVO
7,1.179.183.86:8080,NO USO,NUEVO
8,1.2.169.101:47477,NO USO,NUEVO
9,1.20.100.163:52269,NO USO,NUEVO
10,1.20.100.199:39513,NO USO,NUEVO
11,1.20.100.229:55052,NO USO,NUEVO
12,1.20.101.110:59949,NO USO,NUEVO
13,1.20.101.118:54880,NO USO,NUEVO
14,1.20.102.113:8080,NO USO,NUEVO
15,1.20.102.174:8080,NO USO,NUEVO
16,1.20.103.105:50480,NO USO,NUEVO
17,1.20.103.58:46967,NO USO,NUEVO
18,1.20.96.80:8080,NO USO,NUEVO
19,1.20.96.95:48881,NO USO,NUEVO
20,1.20.98.15:8080,NO USO,NUEVO
21,1.20.98.168:40771,NO USO,NUEVO
22,1.20.99.147:33669,NO USO,NUEVO
23,1.202.245.84:8080,NO USO,NUEVO
24,1.234.82.76:80,NO USO,NUEVO
25,1.255.49.75:80,NO USO,NUEVO
26,1.32.59.217:34709,NO USO,NUEVO
27,1.64.197.151:3128,NO USO,NUEVO
28,101.108.240.161:8080,NO USO,NUEVO
29,101.109.176.59:8080,NO USO,NUEVO
30,101.109.255.17:57331,NO USO,NUEVO
31,101.109.255.97:50580,NO USO,NUEVO
32,101.200.48.129:1080,NO USO,NUEVO
33,101.255.115.41:8080,NO USO,NUEVO
34,101.255.124.202:32166,NO USO,NUEVO
35,101.255.125.10:8080,NO USO,NUEVO
36,101.255.58.225:61598,NO USO,NUEVO
37,101.255.85.114:80,NO USO,NUEVO
38,101.51.138.111:52506,NO USO,NUEVO
39,102.129.99.86:8080,NO USO,NUEVO
40,102.164.248.46:30824,NO USO,NUEVO
41,102.164.248.51:63238,NO USO,NUEVO
42,102.176.189.13:8080,NO USO,NUEVO
43,102.177.96.26:39434,NO USO,NUEVO
44,102.68.129.6:8080,NO USO,NUEVO
45,103.101.233.13:8080,NO USO,NUEVO
46,103.102.12.52:8080,NO USO,NUEVO
47,103.102.12.89:8080,NO USO,NUEVO
48,103.102.73.72:8080,NO USO,NUEVO
49,103.103.146.177:8080,NO USO,NUEVO
50,103.106.148.200:33781,NO USO,NUEVO
51,103.106.3.97:8080,NO USO,NUEVO
